65,4,287,2,0
76,7,158,3,0
12,0,315,1,0
7,0,82,0,0
38,3,57,3,0
67,6,347,0,0
105,7,47,0,0
93,2,151,3,0
67,5,261,3,0
84,5,53,3,0
116,9,253,3,0
112,1,145,0,0
104,1,197,2,0
141,5,77,0,0
83,3,24,1,0
120,12,262,0,0
64,5,4,1,0
145,1,292,2,0
124,5,273,3,0
127,1,305,1,0
147,6,303,0,0
120,12,7,3,0
20,2,30,3,0
25,1,108,1,0
82,3,14,3,0
86,2,357,1,0
87,0,354,3,0
29,1,76,2,0
143,9,66,2,0
112,9,133,3,1
30,0,203,3,0
11,1,149,2,0
53,5,235,2,0
48,4,113,3,0
138,12,332,0,0
126,0,326,2,0
135,9,133,1,0
111,1,268,0,0
42,0,51,1,0
94,9,285,3,1
119,5,271,2,0
50,2,71,3,0
56,0,283,3,0
75,5,154,2,0
141,6,126,1,0
33,2,335,3,0
70,1,108,2,0
69,6,108,3,0
37,0,55,2,0
122,3,348,3,0
43,4,306,2,0
125,1,117,0,0
79,7,322,0,0
29,1,251,3,0
94,9,239,1,0
7,0,211,1,0
121,5,228,3,0
58,5,242,0,0
127,10,113,1,0
40,1,128,2,0
147,11,142,3,0
139,9,76,0,0
124,9,318,1,0
47,4,198,1,0
28,1,168,0,0
93,4,194,2,0
85,5,189,1,0
12,0,196,2,0
53,3,8,2,0
19,0,25,2,0
116,6,327,1,0
97,2,108,2,0
55,1,37,0,0
122,12,82,0,0
5,0,84,1,0
19,0,347,0,0
125,6,112,2,0
150,8,245,0,0
125,2,48,2,0
64,6,205,1,0
101,4,178,3,0
70,2,331,2,0
114,6,360,2,0
79,5,2,1,0
38,1,16,2,0
112,4,208,1,0
11,0,359,0,0
38,2,130,1,0
61,4,254,3,0
113,8,305,3,0
120,11,21,2,0
128,4,113,2,0
86,6,23,3,0
68,2,309,2,0
10,0,239,0,0
142,5,325,1,0
7,0,323,3,0
93,7,28,0,0
5,0,230,3,0
17,1,107,2,0
116,8,260,0,0
149,4,23,1,0
40,0,159,0,0
129,8,155,0,0
88,7,189,3,0
61,4,213,2,0
4,0,231,0,0
141,5,41,2,0
3,0,278,3,0
17,1,145,1,0
124,3,348,3,0
17,1,300,3,0
143,11,257,3,0
33,3,142,2,0
100,6,204,2,0
26,2,327,0,0
10,1,25,3,0
79,0,291,0,0
92,1,58,2,0
92,6,333,3,0
3,0,218,2,0
121,11,139,0,0
91,7,48,0,0
49,0,61,0,0
90,1,330,0,0
51,0,226,0,0
133,3,266,1,0
109,3,364,0,0
123,8,238,3,0
59,4,137,2,0
40,1,354,0,0
117,7,100,2,1
144,1,120,0,0
38,0,29,2,0
26,2,32,1,0
108,1,234,3,0
112,5,64,1,0
19,1,275,3,0
77,1,95,1,0
55,4,232,3,0
143,7,205,2,0
72,5,114,3,1
12,1,360,2,0
22,1,337,1,0
38,2,177,1,0
133,4,110,3,0
68,2,172,3,0
45,0,19,3,0
142,6,252,0,1
54,3,333,2,0
49,3,148,0,0
56,3,209,1,1
143,0,175,2,0
139,3,36,2,0
125,1,142,0,0
144,6,212,0,0
52,5,147,1,0
32,0,363,1,0
8,0,130,0,0
141,5,172,1,0
6,0,71,1,0
100,6,101,2,0
128,1,174,2,0
106,1,143,2,0
98,2,286,3,0
75,7,121,1,0
97,8,158,2,0
85,7,331,3,0
12,0,285,2,0
118,3,20,0,0
68,5,365,3,1
70,5,310,1,0
78,5,13,0,0
97,1,204,1,0
131,1,201,0,0
5,0,335,3,0
58,0,274,1,0
43,0,289,1,0
45,4,197,3,0
54,4,322,3,0
46,3,174,0,0
12,1,314,0,0
121,11,154,1,0
87,6,11,2,1
26,1,49,3,0
21,1,165,0,0
149,12,203,0,0
